WebsiteUrl,Dimension,Sessions,Range
http://tour.yunlin.gov.tw,ga:desktopPageSessions,995,30daysAgo
https://youthjob.taiwanjobs.gov.tw/,ga:mobilePageSessions,1965,30daysAgo
https://isports.sa.gov.tw,ga:tabletPageSessions,41,30daysAgo
https://www.tcsb.gov.tw,ga:desktopPageSessions,280,7daysAgo
https://new-inhabitants.miaoli.gov.tw/,ga:mobilePageSessions,256,7daysAgo
http://www.klsio.gov.tw,ga:tabletPageSessions,9,7daysAgo
https://www.moi.gov.tw/index.aspx,ga:desktopPageSessions,19,today
http://tynewvillage.tyccc.gov.tw,ga:mobilePageSessions,14,today
https://komv.thb.gov.tw,ga:desktopPageSessions,266,30daysAgo
https://www.osha.gov.tw,ga:mobilePageSessions,5,30daysAgo
https://3kto3c.osha.gov.tw,ga:tabletPageSessions,1,30daysAgo
https://tmsc.osha.gov.tw/,ga:desktopPageSessions,99,7daysAgo
https://www.afa.gov.tw,ga:mobilePageSessions,1,7daysAgo
https://www.audit.gov.tw,ga:desktopPageSessions,5,today
https://www.ly.gov.tw,ga:desktopPageSessions,11479,30daysAgo
https://new.cpc.com.tw/Home/,ga:mobilePageSessions,12514,30daysAgo
https://www.re.org.tw/,ga:tabletPageSessions,164,30daysAgo
https://kinmen.travel,ga:desktopPageSessions,3991,7daysAgo
http://www.bsmi.gov.tw,ga:mobilePageSessions,4496,7daysAgo
https://www.kltb.gov.tw/,ga:tabletPageSessions,53,7daysAgo
http://www.ocacocc.net,ga:desktopPageSessions,240,today
https://www.gov.taipei,ga:mobilePageSessions,254,today
https://www.anws.gov.tw,ga:tabletPageSessions,2,today
https://www.tactri.gov.tw,ga:desktopPageSessions,23473,30daysAgo
https://ccsnews.ncl.edu.tw/,ga:mobilePageSessions,15516,30daysAgo
https://village.kcg.gov.tw/,ga:tabletPageSessions,277,30daysAgo
https://www.nfa.gov.tw,ga:desktopPageSessions,7366,7daysAgo
https://www.pcc.gov.tw,ga:mobilePageSessions,4672,7daysAgo
http://reiso.tycg.gov.tw,ga:tabletPageSessions,77,7daysAgo
https://tm.ncl.edu.tw/,ga:desktopPageSessions,560,today
https://heo.gov.taipei/,ga:mobilePageSessions,283,today
https://tpml.gov.taipei/,ga:tabletPageSessions,7,today
http://www.police.taichung.gov.tw,ga:desktopPageSessions,560,30daysAgo
http://www.epib.gov.taipei/,ga:mobilePageSessions,267,30daysAgo
https://www.nca.gov.tw,ga:tabletPageSessions,10,30daysAgo
https://www.pto.gov.taipei,ga:desktopPageSessions,255,7daysAgo
http://www.water.gov.taipei/,ga:mobilePageSessions,107,7daysAgo
https://zsdo.gov.taipei/,ga:tabletPageSessions,1,7daysAgo
https://www.hsr.gov.tw/,ga:desktopPageSessions,15,today
https://sbncp.ncl.edu.tw,ga:mobilePageSessions,3,today
https://www.tsgh.ndmctsgh.edu.tw/,ga:desktopPageSessions,3156,30daysAgo
https://afph.tsgh.ndmctsgh.edu.tw,ga:mobilePageSessions,1668,30daysAgo
https://beitou.tsgh.ndmctsgh.edu.tw,ga:tabletPageSessions,21,30daysAgo
http://songshan.tsgh.ndmctsgh.edu.tw,ga:desktopPageSessions,990,7daysAgo
