主類別(L1),次類別(L2),key,細項(L3),細項(L3) EN,細節(L4),細節(L4) EN,風險,修復難易度,Level 2 Score,Level 1 Score,Level 0 Score,OPEN API,ISO,GDPR,PCI DSS,NIST CSF,詳細情況,詳細情況 EN,修復,修復 EN,更多資訊
external_service,remote_control,public_remote_ssh,公開的 SSH 服務,Public SSH Service,,,H,L,25.00,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
8. Identify and authenticate access to system components.（信用卡金融錢錢）","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 SSH (Secure Shell) 服務，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public SSH service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
1. 限制登入來源
•設定連線白名單 (ListenAddress)。
•僅允許 SSHv2 連線。
2. 防止攻擊者暴力破解
•強制使用 RSA 公私鑰驗證。
3. 降低攻擊者消耗伺服器資源
•禁止 root 登入 (PermitRootLogin : no)。
•禁止空白密碼 (PermitEmptyPasswords : no)。
•禁止使用密碼登入 (PasswordAuthentication : no)。","To mitigate this vulnerability, we suggest the following:
1. Restrict login origins
• Configure a whitelist of allowed origin Ips (ListenAddress)
• Only allow SSHv2 connections
2. Prevent Password Brute-forcing
• Enforce RSA Public Key Encryption (PKE)
3. Prevent adversaries from exhausting server resources
• Deny root login (PermitRootLogin : no)
• Deny empty passwords (PermitEmptyPasswords : no)
• Deny password authentication (PasswordAuthentication : no)",
external_service,remote_control,public_remote_rdp,公開的 RDP 服務,Public RDP Service,,,H,M,25.00,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
9. Identify and authenticate access to system components.(Restrict Physical Access to Cardholder Data)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 RDP (Remote Desktop Protocol) 服務 ，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public  RDP (Remote Desktop Protocol) service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•使用憑證登入取代帳號密碼登入

修改與配置方式請參考：
•https://docs.microsoft.com/zh-tw/troubleshoot/windows-server/remote/remote-desktop-listener-certificate-configurations","To mitigate this vulnerability, we suggest the following:
• Configure login methods to use public key  instead of passwords for authentication

For configuration steps, refer to:
• https://docs.microsoft.com/zh-tw/troubleshoot/windows-server/remote/remote-desktop-listener-certificate-configurations",
external_service,remote_control,public_remote_vnc,公開的 VNC 服務,Public VNC Service,,,H,M,25.00,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
10. Identify and authenticate access to system components.(Log and Monitor All Access to System Components and Cardholder
Data.)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 VNC (Virtual Network Computing) 服務，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public VNC (Virtual Network Computing) service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將 VNC 服務公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the VNC service into the internal network 
• Access the  VNC service via VPN to prevent unauthorized usage",
external_service,remote_control,public_remote_telnet,公開的 Telnet 服務,Public Telnet Service,,,H,M,25.00,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
11. Identify and authenticate access to system components.(Test Security of Systems and Networks Regularly.)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Telnet 服務，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public Telnet service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將 Telnet 服務公開於外網, 必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the Telnet service into the internal network 
• Access the  Telnet service via VPN to prevent unauthorized usage",
external_service,database,public_db_mongodb,公開的 MongoDB 資料庫,Public MongoDB Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
12. Identify and authenticate access to system components.(Support Information Security with Organizational Policies and
Programs)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 MongoDB 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public MongoDB database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網, 必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move thedatabase into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,database,public_db_elasticsearch,公開的 Elasticsearch 資料庫,Public Elasticsearch Database,,,M,L,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
13. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Elasticsearch 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public Elasticsearch database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•啟用安全性設定 (xpack.security.enabled: true)。
•使用 keystore 加密 built-in user 的密碼。
•啟用 SSL 連線加密。","To mitigate this vulnerability, we suggest the following:
• Enable Security Settings (xpack.security.enabled: true)
• Enable the keystore functionality to encrypt the built-in user's password
• Enable SSL connections for data encryption",
external_service,database,public_db_mysql,公開的 MySQL 資料庫,Public MySQL Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
14. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 MySQL 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public MySQL database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,database,public_db_mssql,公開的 Microsoft SQL 資料庫,Public Microsoft SQL Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
15. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Microsoft SQL  資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public Microsoft SQL database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,database,public_db_postgresql,公開的 PostgreSQL 資料庫,Public PostgreSQL Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
16. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 PostgreSQL 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public PostgreSQL database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,database,public_db_cassandra,公開的 Apache Cassandra 資料庫,Public Apache Cassandra Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
17. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Apache Cassandra 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public Apache Cassandra database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
